                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.91941,                 0.6528,                 1.5307,                0.97437,                      1,                  0.995,                0.68423,                 1.0734,                0.47101,                 1.8095,             0.00054985,             0.00054985,             0.00054985
                     90,                 0.9132,                 0.6605,                 1.5195,                0.97567,                0.98158,                  0.995,                0.64065,                 1.1462,                0.50368,                 1.8775,             0.00053716,             0.00053716,             0.00053716
                     91,                0.91687,                0.63208,                 1.5251,                0.98959,                      1,                  0.995,                0.63843,                 1.1106,                0.46025,                 1.8699,             0.00052446,             0.00052446,             0.00052446
                     92,                0.94976,                 0.6906,                 1.5426,                0.97747,                0.99038,                  0.995,                0.69905,                 1.0103,                0.52676,                 1.7523,             0.00051177,             0.00051177,             0.00051177
                     93,                0.91827,                0.66977,                  1.512,                  0.991,                      1,                  0.995,                0.69767,                 1.0886,                0.44298,                 1.8124,             0.00049907,             0.00049907,             0.00049907
                     94,                0.93352,                0.66446,                 1.5332,                0.98967,                      1,                  0.995,                0.66854,                  1.187,                0.47872,                 1.9376,             0.00048638,             0.00048638,             0.00048638
                     95,                0.93971,                0.69329,                 1.5373,                0.99272,                0.98225,                  0.995,                0.66558,                 1.0812,                0.47434,                 1.8225,             0.00047368,             0.00047368,             0.00047368
                     96,                0.90813,                0.64984,                 1.5187,                0.91136,                0.95696,                0.99273,                0.70178,                 1.0523,                0.54903,                 1.7689,             0.00046099,             0.00046099,             0.00046099
                     97,                0.85214,                0.61574,                 1.4698,                 0.9896,                      1,                  0.995,                0.69179,                0.99601,                0.45879,                 1.7162,             0.00044829,             0.00044829,             0.00044829
                     98,                0.87865,                0.62424,                 1.4922,                0.99152,                      1,                  0.995,                0.67389,                 1.0872,                0.47252,                 1.7992,              0.0004356,              0.0004356,              0.0004356
